dataset,split,fold,method,environment_id,fit_seconds,selected_candidate,common_threshold,anomaly_threshold,primary_gate,coverage_rate,coverage_floor,coverage_gap,gated_coverage_rate,coverage_lift,coverage_lift_floor,coverage_recovery_floor,causal_fragility_score,environment_leakage_score,score_environment_leakage_score,accuracy,precision,recall,f1,auc,alert_budget_inflation
uwf,random,all,intervendb_observed_selector,observed,49.6066671,protocol_core_rf,0.0296,,,,,,,,,,0.0,0.0,1.5787715511479696e-15,0.9954701236775443,0.9916075650118203,0.9994043364307839,0.9954906847039279,0.999010183143509,1.0078627591136526
uwf,random,all,intervendb_observed_selector,low_sampling,49.6066671,protocol_core_rf,0.0296,,,,,,,,,,0.0,0.0,1.5787715511479696e-15,0.9954701236775443,0.9916075650118203,0.9994043364307839,0.9954906847039279,0.999010183143509,1.0078627591136526
uwf,random,all,intervendb_observed_selector,congested_link,49.6066671,protocol_core_rf,0.0296,,,,,,,,,,0.0,0.0,1.5787715511479696e-15,0.9954701236775443,0.9916075650118203,0.9994043364307839,0.9954906847039279,0.999010183143509,1.0078627591136526
uwf,random,all,intervendb_observed_selector,high_background,49.6066671,protocol_core_rf,0.0296,,,,,,,,,,0.0,0.0,1.5787715511479696e-15,0.9954701236775443,0.9916075650118203,0.9994043364307839,0.9954906847039279,0.999010183143509,1.0078627591136526
uwf,random,all,intervendb_observed_selector,delayed_collector,49.6066671,protocol_core_rf,0.0296,,,,,,,,,,0.0,0.0,1.5787715511479696e-15,0.9954701236775443,0.9916075650118203,0.9994043364307839,0.9954906847039279,0.999010183143509,1.0078627591136526
uwf,random,all,intervendb_minimax_selector,observed,49.6066671,protocol_core_rf,0.0296,,,,,,,,,,0.0,0.0,1.5787715511479696e-15,0.9954701236775443,0.9916075650118203,0.9994043364307839,0.9954906847039279,0.999010183143509,1.0078627591136526
uwf,random,all,intervendb_minimax_selector,low_sampling,49.6066671,protocol_core_rf,0.0296,,,,,,,,,,0.0,0.0,1.5787715511479696e-15,0.9954701236775443,0.9916075650118203,0.9994043364307839,0.9954906847039279,0.999010183143509,1.0078627591136526
uwf,random,all,intervendb_minimax_selector,congested_link,49.6066671,protocol_core_rf,0.0296,,,,,,,,,,0.0,0.0,1.5787715511479696e-15,0.9954701236775443,0.9916075650118203,0.9994043364307839,0.9954906847039279,0.999010183143509,1.0078627591136526
uwf,random,all,intervendb_minimax_selector,high_background,49.6066671,protocol_core_rf,0.0296,,,,,,,,,,0.0,0.0,1.5787715511479696e-15,0.9954701236775443,0.9916075650118203,0.9994043364307839,0.9954906847039279,0.999010183143509,1.0078627591136526
uwf,random,all,intervendb_minimax_selector,delayed_collector,49.6066671,protocol_core_rf,0.0296,,,,,,,,,,0.0,0.0,1.5787715511479696e-15,0.9954701236775443,0.9916075650118203,0.9994043364307839,0.9954906847039279,0.999010183143509,1.0078627591136526
uwf,random,all,intervendb_stability_selector,observed,49.6066671,protocol_core_rf,0.0296,,,,,,,,,,0.0,0.0,1.5787715511479696e-15,0.9954701236775443,0.9916075650118203,0.9994043364307839,0.9954906847039279,0.999010183143509,1.0078627591136526
uwf,random,all,intervendb_stability_selector,low_sampling,49.6066671,protocol_core_rf,0.0296,,,,,,,,,,0.0,0.0,1.5787715511479696e-15,0.9954701236775443,0.9916075650118203,0.9994043364307839,0.9954906847039279,0.999010183143509,1.0078627591136526
uwf,random,all,intervendb_stability_selector,congested_link,49.6066671,protocol_core_rf,0.0296,,,,,,,,,,0.0,0.0,1.5787715511479696e-15,0.9954701236775443,0.9916075650118203,0.9994043364307839,0.9954906847039279,0.999010183143509,1.0078627591136526
uwf,random,all,intervendb_stability_selector,high_background,49.6066671,protocol_core_rf,0.0296,,,,,,,,,,0.0,0.0,1.5787715511479696e-15,0.9954701236775443,0.9916075650118203,0.9994043364307839,0.9954906847039279,0.999010183143509,1.0078627591136526
uwf,random,all,intervendb_stability_selector,delayed_collector,49.6066671,protocol_core_rf,0.0296,,,,,,,,,,0.0,0.0,1.5787715511479696e-15,0.9954701236775443,0.9916075650118203,0.9994043364307839,0.9954906847039279,0.999010183143509,1.0078627591136526
uwf,random,all,intervendb_shift_guard_selector,observed,49.6066671,protocol_core_rf,0.0296,,,,,,,,,,0.0,0.0,1.5787715511479696e-15,0.9954701236775443,0.9916075650118203,0.9994043364307839,0.9954906847039279,0.999010183143509,1.0078627591136526
uwf,random,all,intervendb_shift_guard_selector,low_sampling,49.6066671,protocol_core_rf,0.0296,,,,,,,,,,0.0,0.0,1.5787715511479696e-15,0.9954701236775443,0.9916075650118203,0.9994043364307839,0.9954906847039279,0.999010183143509,1.0078627591136526
uwf,random,all,intervendb_shift_guard_selector,congested_link,49.6066671,protocol_core_rf,0.0296,,,,,,,,,,0.0,0.0,1.5787715511479696e-15,0.9954701236775443,0.9916075650118203,0.9994043364307839,0.9954906847039279,0.999010183143509,1.0078627591136526
uwf,random,all,intervendb_shift_guard_selector,high_background,49.6066671,protocol_core_rf,0.0296,,,,,,,,,,0.0,0.0,1.5787715511479696e-15,0.9954701236775443,0.9916075650118203,0.9994043364307839,0.9954906847039279,0.999010183143509,1.0078627591136526
uwf,random,all,intervendb_shift_guard_selector,delayed_collector,49.6066671,protocol_core_rf,0.0296,,,,,,,,,,0.0,0.0,1.5787715511479696e-15,0.9954701236775443,0.9916075650118203,0.9994043364307839,0.9954906847039279,0.999010183143509,1.0078627591136526
uwf,random,all,intervendb_pareto_selector,observed,49.6066671,protocol_core_rf,0.0296,,,,,,,,,,0.0,0.0,1.5787715511479696e-15,0.9954701236775443,0.9916075650118203,0.9994043364307839,0.9954906847039279,0.999010183143509,1.0078627591136526
uwf,random,all,intervendb_pareto_selector,low_sampling,49.6066671,protocol_core_rf,0.0296,,,,,,,,,,0.0,0.0,1.5787715511479696e-15,0.9954701236775443,0.9916075650118203,0.9994043364307839,0.9954906847039279,0.999010183143509,1.0078627591136526
uwf,random,all,intervendb_pareto_selector,congested_link,49.6066671,protocol_core_rf,0.0296,,,,,,,,,,0.0,0.0,1.5787715511479696e-15,0.9954701236775443,0.9916075650118203,0.9994043364307839,0.9954906847039279,0.999010183143509,1.0078627591136526
uwf,random,all,intervendb_pareto_selector,high_background,49.6066671,protocol_core_rf,0.0296,,,,,,,,,,0.0,0.0,1.5787715511479696e-15,0.9954701236775443,0.9916075650118203,0.9994043364307839,0.9954906847039279,0.999010183143509,1.0078627591136526
uwf,random,all,intervendb_pareto_selector,delayed_collector,49.6066671,protocol_core_rf,0.0296,,,,,,,,,,0.0,0.0,1.5787715511479696e-15,0.9954701236775443,0.9916075650118203,0.9994043364307839,0.9954906847039279,0.999010183143509,1.0078627591136526
uwf,random,all,intervendb_tail_guard_ensemble,observed,49.6066671,protocol_core_rf+iforest_env_sensitive,0.0296,0.5,,,,,,,,,0.10020840945763275,0.025695907541456006,0.15816313468444643,0.9517806586201758,0.9125421516371152,0.9994043364307839,0.9540001137203616,0.9988150870714695,1.0951870383607338
uwf,random,all,intervendb_tail_guard_ensemble,low_sampling,49.6066671,protocol_core_rf+iforest_env_sensitive,0.0296,0.5,,,,,,,,,0.10020840945763275,0.025695907541456006,0.15816313468444643,0.9951125018626136,0.990904795653201,0.9994043364307839,0.9951364175563463,0.9988955284754043,1.008577555396712
