split,observed_f1_mean,worst_intervention_f1_mean,hidden_drop_mean,hidden_drop_max,rrs_mean,rrs_max
heldout_family,0.9263511923072425,0.9059657375376935,0.020385454769549075,0.6717948717948719,0.08481884362784334,0.5
random,0.982562256735591,0.9653014905182713,0.01726076621731993,0.14875720147092808,0.00909924954998238,0.036363636363636376
source_ip,0.9935861489669658,0.9889141850320907,0.004671963934875107,0.06343587840436293,0.00909924954998238,0.036363636363636376
time,0.9899868506708774,0.9838650439279745,0.006121806742902945,0.07892339320387842,0.155157075457564,0.33942174092418365


