dataset,split,fold,method,observed_f1,worst_intervention_f1,worst_hidden_drop
uwf,heldout_family,initial_access,intervendb_pareto_selector,1.0,1.0,0.0
uwf,heldout_family,initial_access,intervendb_openworld_selector,1.0,1.0,0.0
uwf,heldout_family,initial_access,intervendb_coverage_openworld_selector,1.0,1.0,0.0
uwf,heldout_family,initial_access,intervendb_coverage_lift_openworld_selector,1.0,1.0,0.0
uwf,heldout_family,initial_access,intervendb_adaptive_openworld_selector,1.0,1.0,0.0
uwf,heldout_family,credential_access,intervendb_observed_selector,0.9990582290111404,0.9990582290111404,0.0
uwf,heldout_family,credential_access,intervendb_env_calibrated_ensemble,0.9990123343363116,0.9990123343363116,0.0
uwf,heldout_family,credential_access,intervendb_minimax_selector,0.9986797240049138,0.9986797240049138,0.0
uwf,heldout_family,credential_access,intervendb_stability_selector,0.9986797240049138,0.9986797240049138,0.0
uwf,heldout_family,credential_access,intervendb_shift_guard_selector,0.9986797240049138,0.9986797240049138,0.0
uwf,heldout_family,credential_access,intervendb_pareto_selector,0.9986797240049138,0.9986797240049138,0.0
uwf,heldout_family,credential_access,intervendb_openworld_selector,0.9986797240049138,0.9986797240049138,0.0
uwf,heldout_family,credential_access,intervendb_coverage_openworld_selector,0.9986797240049138,0.9986797240049138,0.0
uwf,heldout_family,credential_access,intervendb_coverage_lift_openworld_selector,0.9986797240049138,0.9986797240049138,0.0
uwf,heldout_family,credential_access,intervendb_adaptive_openworld_selector,0.9986797240049138,0.9986797240049138,0.0
uwf,heldout_family,persistence,intervendb_observed_selector,0.9984686064318529,0.9984686064318529,0.0
uwf,heldout_family,persistence,intervendb_minimax_selector,0.9984686064318529,0.9984686064318529,0.0
uwf,heldout_family,persistence,intervendb_stability_selector,0.9984686064318529,0.9984686064318529,0.0
uwf,heldout_family,persistence,intervendb_shift_guard_selector,0.9984686064318529,0.9984686064318529,0.0
uwf,heldout_family,persistence,intervendb_pareto_selector,0.9984686064318529,0.9984686064318529,0.0
uwf,heldout_family,persistence,intervendb_openworld_selector,0.9984686064318529,0.9984686064318529,0.0
uwf,heldout_family,persistence,intervendb_coverage_openworld_selector,0.9984686064318529,0.9984686064318529,0.0
