environment_id,detector,f1_mean,auc_mean
congested_link,cat_full,0.9774358535088418,0.9943949642701
congested_link,cat_full__oracle_env_upper_bound,0.9928487397815852,0.9943949642701
congested_link,cat_full__val_observed_f1,0.9424405730271092,0.9943949642701
congested_link,cat_full__val_robust_minimax,0.9927017773005605,0.9943949642701
congested_link,iforest_env_sensitive,0.944796591155653,0.952407603019953
congested_link,iforest_env_sensitive__oracle_env_upper_bound,0.9766554875447745,0.952407603019953
congested_link,iforest_env_sensitive__val_observed_f1,0.6870211618614365,0.952407603019953
congested_link,iforest_env_sensitive__val_robust_minimax,0.8888965572743485,0.952407603019953
congested_link,lgbm_full,0.7728800641502632,0.9556395472777711
congested_link,lgbm_full__oracle_env_upper_bound,0.9406788581276192,0.9556395472777711
congested_link,lgbm_full__val_observed_f1,0.9303676295326991,0.9556395472777711
congested_link,lgbm_full__val_robust_minimax,0.9366025761432937,0.9556395472777711
congested_link,lr_full,0.9577118555720013,0.9461818174449496
congested_link,lr_full__oracle_env_upper_bound,0.9797728047819554,0.9461818174449496
congested_link,lr_full__val_observed_f1,0.9743312834581692,0.9461818174449496
congested_link,lr_full__val_robust_minimax,0.97970339214839,0.9461818174449496
congested_link,pyod_copod_env_sensitive,0.34528007201234306,0.34068336943390104
congested_link,pyod_copod_env_sensitive__oracle_env_upper_bound,0.8181642131669119,0.34068336943390104
congested_link,pyod_copod_env_sensitive__val_observed_f1,0.5234903401131236,0.34068336943390104
congested_link,pyod_copod_env_sensitive__val_robust_minimax,0.7166527377613692,0.34068336943390104
congested_link,pyod_ecod_env_sensitive,0.4377742468358292,0.4357665966954724
congested_link,pyod_ecod_env_sensitive__oracle_env_upper_bound,0.8600383926111993,0.4357665966954724
congested_link,pyod_ecod_env_sensitive__val_observed_f1,0.6512974172678421,0.4357665966954724
congested_link,pyod_ecod_env_sensitive__val_robust_minimax,0.6755799804934618,0.4357665966954724
congested_link,rf_full,0.9640209612569883,0.9999750993707238
congested_link,rf_full__oracle_env_upper_bound,0.9999466984289566,0.9999750993707238
congested_link,rf_full__val_observed_f1,0.8123549118363647,0.9999750993707238
congested_link,rf_full__val_robust_minimax,0.961093301023168,0.9999750993707238
congested_link,xgb_full,0.9808574142395062,0.9713197326158065
congested_link,xgb_full__oracle_env_upper_bound,0.9817544044837473,0.9713197326158065
congested_link,xgb_full__val_observed_f1,0.9658956061409771,0.9713197326158065
congested_link,xgb_full__val_robust_minimax,0.9733258250796331,0.9713197326158065
delayed_collector,cat_full,0.9796414014714916,0.9993362520990615
delayed_collector,cat_full__oracle_env_upper_bound,0.9978595361813408,0.9993362520990615
delayed_collector,cat_full__val_observed_f1,0.8623136861587398,0.9993362520990615
delayed_collector,cat_full__val_robust_minimax,0.9732986625299933,0.9993362520990615
delayed_collector,iforest_env_sensitive,0.9103860430495234,0.9371127303942665
delayed_collector,iforest_env_sensitive__oracle_env_upper_bound,0.9626684989367916,0.9371127303942665
delayed_collector,iforest_env_sensitive__val_observed_f1,0.83080338152245,0.9371127303942665
delayed_collector,iforest_env_sensitive__val_robust_minimax,0.9332239952568621,0.9371127303942665
delayed_collector,lgbm_full,0.579645875207599,0.9866708213194787
delayed_collector,lgbm_full__oracle_env_upper_bound,0.857510472996875,0.9866708213194787
delayed_collector,lgbm_full__val_observed_f1,0.580986800738225,0.9866708213194787
delayed_collector,lgbm_full__val_robust_minimax,0.8395146990761772,0.9866708213194787
delayed_collector,lr_full,0.8539077642906924,0.8314729655173205
delayed_collector,lr_full__oracle_env_upper_bound,0.8925897240759504,0.8314729655173205
delayed_collector,lr_full__val_observed_f1,0.8632881203931823,0.8314729655173205
delayed_collector,lr_full__val_robust_minimax,0.8824165293846664,0.8314729655173205
delayed_collector,pyod_copod_env_sensitive,0.31291604368522,0.43944362519326136
delayed_collector,pyod_copod_env_sensitive__oracle_env_upper_bound,0.8169486044757969,0.43944362519326136
delayed_collector,pyod_copod_env_sensitive__val_observed_f1,0.502086528064403,0.43944362519326136
delayed_collector,pyod_copod_env_sensitive__val_robust_minimax,0.7153399484998065,0.43944362519326136
delayed_collector,pyod_ecod_env_sensitive,0.43734961585492443,0.6220556807915613
delayed_collector,pyod_ecod_env_sensitive__oracle_env_upper_bound,0.8832175461296087,0.6220556807915613
delayed_collector,pyod_ecod_env_sensitive__val_observed_f1,0.6888622105904992,0.6220556807915613
delayed_collector,pyod_ecod_env_sensitive__val_robust_minimax,0.72023147100695,0.6220556807915613
delayed_collector,rf_full,0.9999843480541287,0.999990671272116
delayed_collector,rf_full__oracle_env_upper_bound,0.999989835406866,0.999990671272116
delayed_collector,rf_full__val_observed_f1,0.9124861600158578,0.999990671272116
delayed_collector,rf_full__val_robust_minimax,0.9997655538564914,0.999990671272116
delayed_collector,xgb_full,0.9704041077507575,0.9908758602850719
delayed_collector,xgb_full__oracle_env_upper_bound,0.9713263927780836,0.9908758602850719
delayed_collector,xgb_full__val_observed_f1,0.9528656239777442,0.9908758602850719
delayed_collector,xgb_full__val_robust_minimax,0.9673042924144672,0.9908758602850719
high_background,cat_full,0.783591875858486,0.9975464548128382
high_background,cat_full__oracle_env_upper_bound,0.9765046779356986,0.9975464548128382
high_background,cat_full__val_observed_f1,0.722818401901519,0.9975464548128382
high_background,cat_full__val_robust_minimax,0.9738380593743973,0.9975464548128382
high_background,iforest_env_sensitive,0.8068139456092908,0.8311051535574174
high_background,iforest_env_sensitive__oracle_env_upper_bound,0.936100590158574,0.8311051535574174
high_background,iforest_env_sensitive__val_observed_f1,0.6707381357899171,0.8311051535574174
high_background,iforest_env_sensitive__val_robust_minimax,0.8145679136962172,0.8311051535574174
high_background,lgbm_full,0.7101963181829415,0.854209430047261
high_background,lgbm_full__oracle_env_upper_bound,0.7832626366612754,0.854209430047261
high_background,lgbm_full__val_observed_f1,0.7796507338723293,0.854209430047261
high_background,lgbm_full__val_robust_minimax,0.7796478306675798,0.854209430047261
high_background,lr_full,0.9313020496510105,0.97291566870584
high_background,lr_full__oracle_env_upper_bound,0.9795331800100181,0.97291566870584
high_background,lr_full__val_observed_f1,0.9626574534533333,0.97291566870584
high_background,lr_full__val_robust_minimax,0.9795069907589822,0.97291566870584
high_background,pyod_copod_env_sensitive,0.3214419798272122,0.3078917698358754
high_background,pyod_copod_env_sensitive__oracle_env_upper_bound,0.8599819273339113,0.3078917698358754
high_background,pyod_copod_env_sensitive__val_observed_f1,0.5537028658279008,0.3078917698358754
high_background,pyod_copod_env_sensitive__val_robust_minimax,0.7445249163300733,0.3078917698358754
high_background,pyod_ecod_env_sensitive,0.42942497484822667,0.383048613691173
high_background,pyod_ecod_env_sensitive__oracle_env_upper_bound,0.8678113656413831,0.383048613691173
high_background,pyod_ecod_env_sensitive__val_observed_f1,0.6862196168202502,0.383048613691173
high_background,pyod_ecod_env_sensitive__val_robust_minimax,0.7171181399614364,0.383048613691173
high_background,rf_full,0.9298162546500041,0.9999251444576874
high_background,rf_full__oracle_env_upper_bound,0.9998415834759239,0.9999251444576874
high_background,rf_full__val_observed_f1,0.747552133969131,0.9999251444576874
high_background,rf_full__val_robust_minimax,0.9187389880849223,0.9999251444576874
high_background,xgb_full,0.7856813659353824,0.9605743617141215
high_background,xgb_full__oracle_env_upper_bound,0.9536627448805444,0.9605743617141215
high_background,xgb_full__val_observed_f1,0.7852393091448061,0.9605743617141215
high_background,xgb_full__val_robust_minimax,0.9402669537524057,0.9605743617141215
low_sampling,cat_full,0.9137117877412142,0.942546987702577
low_sampling,cat_full__oracle_env_upper_bound,0.9632847720543459,0.942546987702577
low_sampling,cat_full__val_observed_f1,0.8529931670858462,0.942546987702577
low_sampling,cat_full__val_robust_minimax,0.9467563365396866,0.942546987702577
low_sampling,iforest_env_sensitive,0.9028976838546175,0.8144597385887731
low_sampling,iforest_env_sensitive__oracle_env_upper_bound,0.9479195247030807,0.8144597385887731
low_sampling,iforest_env_sensitive__val_observed_f1,0.5006391554611521,0.8144597385887731
low_sampling,iforest_env_sensitive__val_robust_minimax,0.732847179641003,0.8144597385887731
low_sampling,lgbm_full,0.7810348776555824,0.8725247394796866
low_sampling,lgbm_full__oracle_env_upper_bound,0.9520436440194245,0.8725247394796866
low_sampling,lgbm_full__val_observed_f1,0.8917915545773089,0.8725247394796866
low_sampling,lgbm_full__val_robust_minimax,0.941181567923981,0.8725247394796866
low_sampling,lr_full,0.9600173461485652,0.9438748558152152
low_sampling,lr_full__oracle_env_upper_bound,0.981938782821258,0.9438748558152152
low_sampling,lr_full__val_observed_f1,0.9755779507932715,0.9438748558152152
low_sampling,lr_full__val_robust_minimax,0.9817781601712827,0.9438748558152152
low_sampling,pyod_copod_env_sensitive,0.35048189965557625,0.4342872392661354
low_sampling,pyod_copod_env_sensitive__oracle_env_upper_bound,0.8238666034967395,0.4342872392661354
low_sampling,pyod_copod_env_sensitive__val_observed_f1,0.53913566268895,0.4342872392661354
