dataset,split,fold,detector,base_detector,detector_family,feature_profile,calibration_policy,threshold_mode,threshold,env_thresholds,validation_strategy,validation_group_col,validation_groups,validation_removed_group_rows,validation_min_f1,validation_mean_f1,fit_rows,validation_rows,train_rows
gotham,random,all,iforest_env_sensitive__val_observed_f1,iforest_env_sensitive,sklearn_anomaly,env_sensitive,val_observed_f1,single_validation_observed,0.5882,{},device_challenge,device_file,iotsim-city-power-1.csv,187654,0.9685961088237669,0.9685961088237669,3389314,12000,3582968
gotham,random,all,iforest_env_sensitive__val_robust_minimax,iforest_env_sensitive,sklearn_anomaly,env_sensitive,val_robust_minimax,single_validation_minimax,0.5,{},device_challenge,device_file,iotsim-city-power-1.csv,187654,0.9349992092361221,0.9415248185769102,3389314,12000,3582968
gotham,random,all,iforest_env_sensitive__oracle_env_upper_bound,iforest_env_sensitive,sklearn_anomaly,env_sensitive,oracle_env_upper_bound,per_test_environment_oracle,,"{""congested_link"": 0.5294, ""delayed_collector"": 0.304, ""high_background"": 0.2452, ""low_sampling"": 0.4216, ""observed"": 0.5294}",device_challenge,device_file,iotsim-city-power-1.csv,187654,0.9584091276655204,0.9752095777444991,3389314,12000,3582968
gotham,random,all,pyod_ecod_env_sensitive,pyod_ecod_env_sensitive,pyod_ecod,env_sensitive,native_default,native,,{},device_challenge,device_file,iotsim-city-power-1.csv,187654,,,3389314,12000,3582968
gotham,random,all,pyod_ecod_env_sensitive__val_observed_f1,pyod_ecod_env_sensitive,pyod_ecod,env_sensitive,val_observed_f1,single_validation_observed,0.2158,{},device_challenge,device_file,iotsim-city-power-1.csv,187654,0.9597632189424846,0.9597632189424846,3389314,12000,3582968
gotham,random,all,pyod_ecod_env_sensitive__val_robust_minimax,pyod_ecod_env_sensitive,pyod_ecod,env_sensitive,val_robust_minimax,single_validation_minimax,0.20600000000000002,{},device_challenge,device_file,iotsim-city-power-1.csv,187654,0.7095338345864661,0.808774287119089,3389314,12000,3582968
gotham,random,all,pyod_ecod_env_sensitive__oracle_env_upper_bound,pyod_ecod_env_sensitive,pyod_ecod,env_sensitive,oracle_env_upper_bound,per_test_environment_oracle,,"{""congested_link"": 0.01, ""delayed_collector"": 0.01, ""high_background"": 0.01, ""low_sampling"": 0.01, ""observed"": 0.01}",device_challenge,device_file,iotsim-city-power-1.csv,187654,0.8787306107918426,0.8861463776011653,3389314,12000,3582968
gotham,random,all,pyod_copod_env_sensitive,pyod_copod_env_sensitive,pyod_copod,env_sensitive,native_default,native,,{},device_challenge,device_file,iotsim-city-power-1.csv,187654,,,3389314,12000,3582968
gotham,random,all,pyod_copod_env_sensitive__val_observed_f1,pyod_copod_env_sensitive,pyod_copod,env_sensitive,val_observed_f1,single_validation_observed,0.2452,{},device_challenge,device_file,iotsim-city-power-1.csv,187654,0.9666451820818562,0.9666451820818562,3389314,12000,3582968
gotham,random,all,pyod_copod_env_sensitive__val_robust_minimax,pyod_copod_env_sensitive,pyod_copod,env_sensitive,val_robust_minimax,single_validation_minimax,0.0982,{},device_challenge,device_file,iotsim-city-power-1.csv,187654,0.6722321828776333,0.7776223444384973,3389314,12000,3582968
