split,hidden_drop_mean,hidden_drop_max,observed_f1_mean,rrs_mean,rrs_max
device,0.15519529346292724,0.8466233765677066,0.8820487471763815,0.3371829591857077,0.6519957235430418
random,0.12614250387343223,0.3763116626894688,0.8831190096876759,0.3879217669051054,0.6461069980640982
time,0.045882594496046605,0.3075139801703524,0.8503230159987079,0.20812462997154274,0.4160729430184924


