dataset,split,fold,detector,base_detector,detector_family,feature_profile,calibration_policy,environment_id,train_rows,test_rows,train_positive_rate,test_positive_rate,fit_seconds,eval_seconds,semantic_preservation_score,accuracy,precision,recall,f1,auc,alert_budget_inflation,causal_fragility_score,environment_leakage_score,score_environment_leakage_score
gotham,random,all,lr_full,lr_full,sklearn_linear,full,native_default,observed,3582968,1929291,0.8185861553884936,0.818586206020761,357.7481567449868,0.0004554577171802521,1.0,0.9998605705411988,0.9999037564125456,0.9999259161231211,0.9999148361450597,0.999959471359526,1.0000221618435108,0.26898984928973196,0.08383968178848128,0.29048424577021037
gotham,random,all,lr_full,lr_full,sklearn_linear,full,native_default,low_sampling,3582968,1929291,0.8185861553884936,0.818586206020761,357.7481567449868,0.0003996826708316803,1.0,0.9998994449256229,0.9999005958550371,0.9999765717654314,0.9999385823670609,0.9999599732483934,1.0000759834634656,0.26898984928973196,0.08383968178848128,0.29048424577021037
gotham,random,all,lr_full,lr_full,sklearn_linear,full,native_default,congested_link,3582968,1929291,0.8185861553884936,0.818586206020761,357.7481567449868,0.00039895251393318176,1.0,0.9998610888663245,0.9999037564734852,0.99992654931865,0.9999151527661782,0.9999594291145294,1.0000227950390397,0.26898984928973196,0.08383968178848128,0.29048424577021037
gotham,random,all,lr_full,lr_full,sklearn_linear,full,native_default,high_background,3582968,1929291,0.8185861553884936,0.818586206020761,357.7481567449868,0.00039453431963920593,1.0,0.9994111826572559,0.9999151051397502,0.9993655380800625,0.9996402460767505,0.9999552940528376,0.9994503862809324,0.26898984928973196,0.08383968178848128,0.29048424577021037
gotham,random,all,lr_full,lr_full,sklearn_linear,full,native_default,delayed_collector,3582968,1929291,0.8185861553884936,0.818586206020761,357.7481567449868,0.0004182495176792145,1.0,0.7875862169055886,0.8419322978827666,0.9116723896989218,0.8754155773089317,0.7973402508983009,1.0828333726969888,0.26898984928973196,0.08383968178848128,0.29048424577021037
gotham,random,all,lr_full__val_observed_f1,lr_full,sklearn_linear,full,val_observed_f1,observed,3582968,1929291,0.8185861553884936,0.818586206020761,357.7481567449868,0.004140600562095642,1.0,0.9998087380286333,0.9997695692083689,0.9999968340223556,0.99988318870153,0.999959471359526,1.000227317194868,0.26898984928973196,0.07122134500082838,0.29048424577021037
gotham,random,all,lr_full__val_observed_f1,lr_full,sklearn_linear,full,val_observed_f1,low_sampling,3582968,1929291,0.8185861553884936,0.818586206020761,357.7481567449868,0.00409916415810585,1.0,0.9997983715261202,0.9997569112536162,0.9999968340223556,0.9998768582454801,0.9999599732483934,1.0002399811054454,0.26898984928973196,0.07122134500082838,0.29048424577021037
gotham,random,all,lr_full__val_observed_f1,lr_full,sklearn_linear,full,val_observed_f1,congested_link,3582968,1929291,0.8185861553884936,0.818586206020761,357.7481567449868,0.004308369010686874,1.0,0.999809256353759,0.9997702021145204,0.9999968340223556,0.9998835052264368,0.9999594291145294,1.000226683999339,0.26898984928973196,0.07122134500082838,0.29048424577021037
gotham,random,all,lr_full__val_observed_f1,lr_full,sklearn_linear,full,val_observed_f1,high_background,3582968,1929291,0.8185861553884936,0.818586206020761,357.7481567449868,0.0040581114590168,1.0,0.9997019630527484,0.9997967528578068,0.9998391683356646,0.9998179601468856,0.9999552940528376,1.0000424241004349,0.26898984928973196,0.07122134500082838,0.29048424577021037
gotham,random,all,lr_full__val_observed_f1,lr_full,sklearn_linear,full,val_observed_f1,delayed_collector,3582968,1929291,0.8185861553884936,0.818586206020761,357.7481567449868,0.006971634924411774,1.0,0.8248548300904321,0.8447152191358968,0.9630840674707828,0.9000244386940861,0.7973402508983009,1.1401287033232002,0.26898984928973196,0.07122134500082838,0.29048424577021037
