split,fold,train_rows,test_rows,train_positive_rate,test_positive_rate
random,all,3582968,1929291,0.8185861553884936,0.818586206020761
time,all,3582967,1929292,0.8185861047561979,0.8185863000520398
device,all,3887826,1624433,0.852837807041776,0.7366102510845323


