detector,environment_id,accuracy,precision,recall,f1,avg_score,n
gb_full,congested_link,0.9215442092154421,0.9944067119456652,0.8921146953405018,0.9404874362365389,0.6328943334739677,4015.0
gb_full,delayed_collector,0.997758405977584,0.9978517722878625,0.9989247311827957,0.9983879634605051,0.6952119244246938,4015.0
gb_full,high_background,0.9148194271481943,0.9818897637795275,0.8939068100358423,0.9358348968105066,0.6406925260305728,4015.0
gb_full,low_sampling,0.7041095890410959,0.9993765586034913,0.5745519713261649,0.729631315430132,0.46330705700973834,4015.0
gb_full,observed,0.9980074719800747,0.9982091690544412,0.9989247311827957,0.9985668219276245,0.6949825536648062,4015.0
iforest_env_sensitive,congested_link,0.6560398505603985,0.881429344883595,0.5835125448028674,0.7021781324131982,0.5309935341782738,4015.0
iforest_env_sensitive,delayed_collector,0.663760896637609,0.9422604422604423,0.5498207885304659,0.6944318696242644,0.5179779907139557,4015.0
iforest_env_sensitive,high_background,0.6869240348692404,0.844494382022472,0.6734767025089605,0.7493519441674975,0.5592342816347619,4015.0
iforest_env_sensitive,low_sampling,0.6356164383561644,1.0,0.47562724014336916,0.6446441583677435,0.3640389248786097,4015.0
iforest_env_sensitive,observed,0.7043586550435865,0.9391780821917808,0.614336917562724,0.742795232936078,0.5320313185076735,4015.0
lr_env_sensitive,congested_link,0.6931506849315069,0.8096184419713831,0.7301075268817204,0.7678100263852242,0.6434883990615116,4015.0
lr_env_sensitive,delayed_collector,0.9504358655043587,0.9641705481906127,0.964516129032258,0.9643433076509587,0.6587727548058897,4015.0
lr_env_sensitive,high_background,0.8057285180572852,0.8962933753943217,0.8146953405017922,0.8535486293653773,0.6583243822590552,4015.0
lr_env_sensitive,low_sampling,0.6555417185554172,0.9992902767920511,0.5046594982078854,0.6706358656823053,0.4914209797470525,4015.0
lr_env_sensitive,observed,0.9673723536737235,0.966327604349351,0.9874551971326165,0.9767771671689417,0.6619430216523684,4015.0
lr_full,congested_link,0.7845579078455791,0.9734382685686178,0.7093189964157706,0.8206510470661414,0.5042426899954987,4015.0
lr_full,delayed_collector,0.9980074719800747,0.9974964234620887,0.9996415770609319,0.9985678481919084,0.6865446742175535,4015.0
lr_full,high_background,0.838107098381071,0.9436152570480929,0.8157706093189964,0.8750480584390619,0.6031926434531465,4015.0
lr_full,low_sampling,0.7785803237858032,0.9989501312335958,0.682078853046595,0.8106496272630458,0.4916447132355153,4015.0
lr_full,observed,0.9980074719800747,0.9974964234620887,0.9996415770609319,0.9985678481919084,0.6864023092251141,4015.0
protocol_core_rf,congested_link,0.9950186799501868,0.9967718794835008,0.9960573476702509,0.9964144854786662,0.6932968451974774,4015.0
protocol_core_rf,delayed_collector,0.9950186799501868,0.9967718794835008,0.9960573476702509,0.9964144854786662,0.6932968451974774,4015.0
protocol_core_rf,high_background,0.9950186799501868,0.9967718794835008,0.9960573476702509,0.9964144854786662,0.6932968451974774,4015.0
protocol_core_rf,low_sampling,0.9950186799501868,0.9967718794835008,0.9960573476702509,0.9964144854786662,0.6932968451974774,4015.0
protocol_core_rf,observed,0.9950186799501868,0.9967718794835008,0.9960573476702509,0.9964144854786662,0.6932968451974774,4015.0
rf_env_sensitive,congested_link,0.8906600249066002,0.9519415609381008,0.8874551971326164,0.9185679836764978,0.6130493867602804,4015.0
rf_env_sensitive,delayed_collector,0.9985056039850561,0.9978540772532188,1.0,0.9989258861439313,0.6952725597756919,4015.0
rf_env_sensitive,high_background,0.8283935242839352,0.8965647414118535,0.8512544802867383,0.8733223018937305,0.6528326834860831,4015.0
rf_env_sensitive,low_sampling,0.7173100871731009,0.7827126750939528,0.821146953405018,0.8014693020815112,0.6476436071328441,4015.0
rf_env_sensitive,observed,0.9985056039850561,0.9978540772532188,1.0,0.9989258861439313,0.6947681027488566,4015.0
rf_full,congested_link,0.9930261519302616,0.9949820788530466,0.9949820788530466,0.9949820788530466,0.6475856462870303,4015.0
rf_full,delayed_collector,0.9985056039850561,0.9978540772532188,1.0,0.9989258861439313,0.6943875241262576,4015.0
rf_full,high_background,0.9788293897882939,0.9863358504135203,0.9831541218637992,0.9847424160832885,0.6583408652623702,4015.0
rf_full,low_sampling,0.972851805728518,0.9981419546636938,0.9627240143369176,0.9801131180441526,0.5727486488892796,4015.0
rf_full,observed,0.9985056039850561,0.9978540772532188,1.0,0.9989258861439313,0.6944348416952298,4015.0


