detector,environment_id,accuracy,precision,recall,f1,avg_score,n
gb_full,congested_link,0.9440535491905356,1.0,0.9194892473118279,0.9580561585323156,0.7815866861299192,4015.0
gb_full,delayed_collector,1.0,1.0,1.0,1.0,0.8333081826001908,4015.0
gb_full,high_background,0.8811021170610215,0.9415302372201805,0.8837813620071685,0.9117422754269604,0.7609215880442278,4015.0
gb_full,low_sampling,0.6675072644250734,1.0,0.5215203106332134,0.6855252696773683,0.5570062741094443,4015.0
gb_full,observed,1.0,1.0,1.0,1.0,0.833590908318636,4015.0
iforest_env_sensitive,congested_link,0.6329804898298057,0.860300155095338,0.5633064516129028,0.6808237969748382,0.5724812905097894,4015.0
iforest_env_sensitive,delayed_collector,0.6303030303030311,0.880882924931933,0.5411589008363197,0.6704410894020126,0.5744822714856751,4015.0
iforest_env_sensitive,high_background,0.6497405562474061,0.8004849888705912,0.6606033452807646,0.7238481741791375,0.5974144744901939,4015.0
iforest_env_sensitive,low_sampling,0.6389684516396852,1.0,0.4804510155316602,0.6490603343051109,0.37671955417941316,4015.0
iforest_env_sensitive,observed,0.642901618929017,0.86328125,0.5775836320191157,0.6921080887616318,0.5894593671311603,4015.0
lr_env_sensitive,congested_link,0.7447281029472814,0.8288362416940945,0.7972968936678617,0.8127607100447587,0.7380331902511266,4015.0
lr_env_sensitive,delayed_collector,0.9636778746367788,0.964160327677004,0.9843189964157706,0.9741353827963347,0.819550496124682,4015.0
lr_env_sensitive,high_background,0.8071917808219183,0.8691459004135449,0.8505973715651135,0.8597716071280314,0.7573951743327669,4015.0
lr_env_sensitive,low_sampling,0.6798775425487762,1.0,0.5393219832735957,0.7007266694478665,0.5590364195281363,4015.0
lr_env_sensitive,observed,0.9745745122457452,0.9647024924362483,1.0,0.9820341717386523,0.8226077589990314,4015.0
lr_full,congested_link,0.7823889580738901,1.0,0.6868428912783751,0.8143531265770113,0.5792474655032831,4015.0
lr_full,delayed_collector,1.0,1.0,1.0,1.0,0.8207191297627235,4015.0
lr_full,high_background,0.8188459941884605,0.9549665465774576,0.7758960573476708,0.8561682212188131,0.6325334343002579,4015.0
lr_full,low_sampling,0.7234640929846416,1.0,0.6020459976105135,0.7515963942464552,0.4891943353076131,4015.0
lr_full,observed,1.0,1.0,1.0,1.0,0.8193325691615745,4015.0
protocol_core_rf,congested_link,1.0,1.0,1.0,1.0,0.8318112185620176,4015.0
protocol_core_rf,delayed_collector,1.0,1.0,1.0,1.0,0.8318112185620176,4015.0
protocol_core_rf,high_background,1.0,1.0,1.0,1.0,0.8318112185620176,4015.0
protocol_core_rf,low_sampling,1.0,1.0,1.0,1.0,0.8318112185620176,4015.0
protocol_core_rf,observed,1.0,1.0,1.0,1.0,0.8318112185620176,4015.0
rf_env_sensitive,congested_link,0.8754462432544627,0.9243336730596993,0.8939366786140981,0.9088810944593753,0.7043988102727974,4015.0
rf_env_sensitive,delayed_collector,1.0,1.0,1.0,1.0,0.8358685750019949,4015.0
rf_env_sensitive,high_background,0.7835720215857207,0.8508484894604673,0.8349014336917564,0.8427995326574456,0.7209782777839566,4015.0
rf_env_sensitive,low_sampling,0.7078144458281439,0.7654059229874836,0.8356481481481481,0.7989861849855423,0.5985525669773115,4015.0
rf_env_sensitive,observed,1.0,1.0,1.0,1.0,0.8350228440432479,4015.0
rf_full,congested_link,0.9891033623910336,1.0,0.9843189964157706,0.9920975389478438,0.7630161590782754,4015.0
rf_full,delayed_collector,1.0,1.0,1.0,1.0,0.8341073242143393,4015.0
rf_full,high_background,0.9291718555417187,0.9455434541009113,0.9529569892473119,0.9492357469597233,0.7600904974220085,4015.0
rf_full,low_sampling,0.9564134495641345,1.0,0.9372759856630825,0.967622571692877,0.6297662843128097,4015.0
rf_full,observed,1.0,1.0,1.0,1.0,0.8337079683633007,4015.0


