detector,environment_id,accuracy_full,precision_full,recall_full,f1_full,avg_score_full,n_full,accuracy_witness,precision_witness,recall_witness,f1_witness,avg_score_witness,n_witness,abs_f1_error,abs_accuracy_error
gb_full,congested_link,0.9215442092154421,0.9944067119456652,0.8921146953405018,0.9404874362365389,0.6328943334739677,4015.0,0.9440535491905356,1.0,0.9194892473118279,0.9580561585323156,0.7815866861299192,4015.0,0.017568722295776773,0.022509339975093523
gb_full,delayed_collector,0.997758405977584,0.9978517722878625,0.9989247311827957,0.9983879634605051,0.6952119244246938,4015.0,1.0,1.0,1.0,1.0,0.8333081826001908,4015.0,0.001612036539494932,0.0022415940224159714
gb_full,high_background,0.9148194271481943,0.9818897637795275,0.8939068100358423,0.9358348968105066,0.6406925260305728,4015.0,0.8811021170610215,0.9415302372201805,0.8837813620071685,0.9117422754269604,0.7609215880442278,4015.0,0.024092621383546176,0.033717310087172825
gb_full,low_sampling,0.7041095890410959,0.9993765586034913,0.5745519713261649,0.729631315430132,0.46330705700973834,4015.0,0.6675072644250734,1.0,0.5215203106332134,0.6855252696773683,0.5570062741094443,4015.0,0.04410604575276378,0.03660232461602253
gb_full,observed,0.9980074719800747,0.9982091690544412,0.9989247311827957,0.9985668219276245,0.6949825536648062,4015.0,1.0,1.0,1.0,1.0,0.833590908318636,4015.0,0.0014331780723755294,0.0019925280199253326
iforest_env_sensitive,congested_link,0.6560398505603985,0.881429344883595,0.5835125448028674,0.7021781324131982,0.5309935341782738,4015.0,0.6329804898298057,0.860300155095338,0.5633064516129028,0.6808237969748382,0.5724812905097894,4015.0,0.02135433543835996,0.02305936073059278
iforest_env_sensitive,delayed_collector,0.663760896637609,0.9422604422604423,0.5498207885304659,0.6944318696242644,0.5179779907139557,4015.0,0.6303030303030311,0.880882924931933,0.5411589008363197,0.6704410894020126,0.5744822714856751,4015.0,0.023990780222251762,0.03345786633457781
iforest_env_sensitive,high_background,0.6869240348692404,0.844494382022472,0.6734767025089605,0.7493519441674975,0.5592342816347619,4015.0,0.6497405562474061,0.8004849888705912,0.6606033452807646,0.7238481741791375,0.5974144744901939,4015.0,0.025503769988360014,0.03718347862183424
iforest_env_sensitive,low_sampling,0.6356164383561644,1.0,0.47562724014336916,0.6446441583677435,0.3640389248786097,4015.0,0.6389684516396852,1.0,0.4804510155316602,0.6490603343051109,0.37671955417941316,4015.0,0.004416175937367428,0.0033520132835207495
iforest_env_sensitive,observed,0.7043586550435865,0.9391780821917808,0.614336917562724,0.742795232936078,0.5320313185076735,4015.0,0.642901618929017,0.86328125,0.5775836320191157,0.6921080887616318,0.5894593671311603,4015.0,0.0506871441744462,0.06145703611456954
lr_env_sensitive,congested_link,0.6931506849315069,0.8096184419713831,0.7301075268817204,0.7678100263852242,0.6434883990615116,4015.0,0.7447281029472814,0.8288362416940945,0.7972968936678617,0.8127607100447587,0.7380331902511266,4015.0,0.044950683659534474,0.051577418015774534
lr_env_sensitive,delayed_collector,0.9504358655043587,0.9641705481906127,0.964516129032258,0.9643433076509587,0.6587727548058897,4015.0,0.9636778746367788,0.964160327677004,0.9843189964157706,0.9741353827963347,0.819550496124682,4015.0,0.009792075145376056,0.01324200913242013
lr_env_sensitive,high_background,0.8057285180572852,0.8962933753943217,0.8146953405017922,0.8535486293653773,0.6583243822590552,4015.0,0.8071917808219183,0.8691459004135449,0.8505973715651135,0.8597716071280314,0.7573951743327669,4015.0,0.006222977762654014,0.0014632627646331553
lr_env_sensitive,low_sampling,0.6555417185554172,0.9992902767920511,0.5046594982078854,0.6706358656823053,0.4914209797470525,4015.0,0.6798775425487762,1.0,0.5393219832735957,0.7007266694478665,0.5590364195281363,4015.0,0.03009080376556128,0.024335823993358985
lr_env_sensitive,observed,0.9673723536737235,0.966327604349351,0.9874551971326165,0.9767771671689417,0.6619430216523684,4015.0,0.9745745122457452,0.9647024924362483,1.0,0.9820341717386523,0.8226077589990314,4015.0,0.005257004569710566,0.007202158572021666
lr_full,congested_link,0.7845579078455791,0.9734382685686178,0.7093189964157706,0.8206510470661414,0.5042426899954987,4015.0,0.7823889580738901,1.0,0.6868428912783751,0.8143531265770113,0.5792474655032831,4015.0,0.006297920489130138,0.0021689497716890216
lr_full,delayed_collector,0.9980074719800747,0.9974964234620887,0.9996415770609319,0.9985678481919084,0.6865446742175535,4015.0,1.0,1.0,1.0,1.0,0.8207191297627235,4015.0,0.0014321518080916418,0.0019925280199253326
lr_full,high_background,0.838107098381071,0.9436152570480929,0.8157706093189964,0.8750480584390619,0.6031926434531465,4015.0,0.8188459941884605,0.9549665465774576,0.7758960573476708,0.8561682212188131,0.6325334343002579,4015.0,0.018879837220248774,0.019261104192610512
lr_full,low_sampling,0.7785803237858032,0.9989501312335958,0.682078853046595,0.8106496272630458,0.4916447132355153,4015.0,0.7234640929846416,1.0,0.6020459976105135,0.7515963942464552,0.4891943353076131,4015.0,0.0590532330165906,0.05511623080116157
lr_full,observed,0.9980074719800747,0.9974964234620887,0.9996415770609319,0.9985678481919084,0.6864023092251141,4015.0,1.0,1.0,1.0,1.0,0.8193325691615745,4015.0,0.0014321518080916418,0.0019925280199253326
protocol_core_rf,congested_link,0.9950186799501868,0.9967718794835008,0.9960573476702509,0.9964144854786662,0.6932968451974774,4015.0,1.0,1.0,1.0,1.0,0.8318112185620176,4015.0,0.0035855145213338213,0.00498132004981322
protocol_core_rf,delayed_collector,0.9950186799501868,0.9967718794835008,0.9960573476702509,0.9964144854786662,0.6932968451974774,4015.0,1.0,1.0,1.0,1.0,0.8318112185620176,4015.0,0.0035855145213338213,0.00498132004981322
protocol_core_rf,high_background,0.9950186799501868,0.9967718794835008,0.9960573476702509,0.9964144854786662,0.6932968451974774,4015.0,1.0,1.0,1.0,1.0,0.8318112185620176,4015.0,0.0035855145213338213,0.00498132004981322
protocol_core_rf,low_sampling,0.9950186799501868,0.9967718794835008,0.9960573476702509,0.9964144854786662,0.6932968451974774,4015.0,1.0,1.0,1.0,1.0,0.8318112185620176,4015.0,0.0035855145213338213,0.00498132004981322
protocol_core_rf,observed,0.9950186799501868,0.9967718794835008,0.9960573476702509,0.9964144854786662,0.6932968451974774,4015.0,1.0,1.0,1.0,1.0,0.8318112185620176,4015.0,0.0035855145213338213,0.00498132004981322
rf_env_sensitive,congested_link,0.8906600249066002,0.9519415609381008,0.8874551971326164,0.9185679836764978,0.6130493867602804,4015.0,0.8754462432544627,0.9243336730596993,0.8939366786140981,0.9088810944593753,0.7043988102727974,4015.0,0.009686889217122574,0.015213781652137492
rf_env_sensitive,delayed_collector,0.9985056039850561,0.9978540772532188,1.0,0.9989258861439313,0.6952725597756919,4015.0,1.0,1.0,1.0,1.0,0.8358685750019949,4015.0,0.0010741138560687036,0.001494396014943944
rf_env_sensitive,high_background,0.8283935242839352,0.8965647414118535,0.8512544802867383,0.8733223018937305,0.6528326834860831,4015.0,0.7835720215857207,0.8508484894604673,0.8349014336917564,0.8427995326574456,0.7209782777839566,4015.0,0.03052276923628494,0.0448215026982145
rf_env_sensitive,low_sampling,0.7173100871731009,0.7827126750939528,0.821146953405018,0.8014693020815112,0.6476436071328441,4015.0,0.7078144458281439,0.7654059229874836,0.8356481481481481,0.7989861849855423,0.5985525669773115,4015.0,0.002483117095968934,0.009495641344956951
rf_env_sensitive,observed,0.9985056039850561,0.9978540772532188,1.0,0.9989258861439313,0.6947681027488566,4015.0,1.0,1.0,1.0,1.0,0.8350228440432479,4015.0,0.0010741138560687036,0.001494396014943944
rf_full,congested_link,0.9930261519302616,0.9949820788530466,0.9949820788530466,0.9949820788530466,0.6475856462870303,4015.0,0.9891033623910336,1.0,0.9843189964157706,0.9920975389478438,0.7630161590782754,4015.0,0.0028845399052027654,0.003922789539227978
