detector,environment_id,semantic_label,accuracy,precision,recall,f1,avg_score,n
iforest_env_sensitive,high_background,T1595,0.2916666666666667,1.0,0.2916666666666667,0.45161290322580644,0.4299548102168562,1050.0
iforest_env_sensitive,high_background,benign,0.6249999999999999,0.0,,0.0,0.4040237645397304,1225.0
iforest_env_sensitive,low_sampling,Duplicate,0.16666666666666663,1.0,0.16666666666666666,0.28571428571428575,0.298447351379328,340.00000000000006
iforest_env_sensitive,low_sampling,T1048,1.0,1.0,1.0,1.0,0.9807525483979634,2.0
iforest_env_sensitive,low_sampling,T1078,0.08333333333333333,1.0,0.08333333333333333,0.15384615384615385,0.2546726743979642,123.0
iforest_env_sensitive,low_sampling,T1110,1.0,1.0,1.0,1.0,0.7848759163355359,1192.0
iforest_env_sensitive,low_sampling,T1190,0.9583333333333334,1.0,0.9583333333333334,0.9787234042553191,0.5475932756414107,82.99999999999999
iforest_env_sensitive,low_sampling,T1595,0.0,,0.0,0.0,0.16064340381514117,1050.0
iforest_env_sensitive,low_sampling,benign,1.0,,,,0.1637486206555523,1225.0
iforest_env_sensitive,observed,Duplicate,0.3333333333333333,1.0,0.33333333333333337,0.5000000000000001,0.5564705349866013,340.00000000000006
iforest_env_sensitive,observed,T1048,1.0,1.0,1.0,1.0,0.9364762822898994,2.0
iforest_env_sensitive,observed,T1078,0.375,1.0,0.375,0.5454545454545454,0.543312860839714,123.0
iforest_env_sensitive,observed,T1110,1.0,1.0,1.0,1.0,0.8786160838878437,1192.0
iforest_env_sensitive,observed,T1190,1.0,1.0,1.0,1.0,0.841680891981751,82.99999999999999
iforest_env_sensitive,observed,T1595,0.16666666666666666,1.0,0.16666666666666666,0.2857142857142857,0.43645405004644117,1050.0
iforest_env_sensitive,observed,benign,0.7916666666666664,0.0,,0.0,0.25130370478138214,1225.0
lr_env_sensitive,congested_link,Duplicate,0.7916666666666664,1.0,0.7916666666666667,0.883720930232558,0.7895571802527962,340.00000000000006
lr_env_sensitive,congested_link,T1048,0.0,,0.0,0.0,9.64265467511998e-47,2.0
lr_env_sensitive,congested_link,T1078,0.7916666666666666,1.0,0.7916666666666666,0.8837209302325582,0.7642210874337841,123.0
lr_env_sensitive,congested_link,T1110,0.7916666666666664,1.0,0.7916666666666666,0.8837209302325582,0.7913786143565146,1192.0
lr_env_sensitive,congested_link,T1190,1.0,1.0,1.0,1.0,0.9990625835634807,82.99999999999999
lr_env_sensitive,congested_link,T1595,0.7916666666666666,1.0,0.7916666666666666,0.8837209302325582,0.771553522708036,1050.0
lr_env_sensitive,congested_link,benign,0.6249999999999999,0.0,,0.0,0.37392891904641073,1225.0
lr_env_sensitive,delayed_collector,Duplicate,1.0,1.0,1.0,1.0,0.9668395751326896,340.00000000000006
lr_env_sensitive,delayed_collector,T1048,1.0,1.0,1.0,1.0,1.0,2.0
lr_env_sensitive,delayed_collector,T1078,1.0,1.0,1.0,1.0,0.9680836805645764,123.0
lr_env_sensitive,delayed_collector,T1110,1.0,1.0,1.0,1.0,0.9999209949074563,1192.0
lr_env_sensitive,delayed_collector,T1190,1.0,1.0,1.0,1.0,0.9999579227765439,82.99999999999999
lr_env_sensitive,delayed_collector,T1595,0.9583333333333334,1.0,0.9583333333333334,0.9787234042553191,0.8663593088311171,1050.0
lr_env_sensitive,delayed_collector,benign,0.9166666666666665,0.0,,0.0,0.10110403587943007,1225.0
lr_env_sensitive,high_background,Duplicate,0.6666666666666664,1.0,0.6666666666666665,0.7999999999999999,0.7448375929643195,340.00000000000006
lr_env_sensitive,high_background,T1048,1.0,1.0,1.0,1.0,1.0,2.0
lr_env_sensitive,high_background,T1078,0.6666666666666666,1.0,0.6666666666666666,0.8,0.7314540781737656,123.0
lr_env_sensitive,high_background,T1110,1.0,1.0,1.0,1.0,1.0,1192.0
lr_env_sensitive,high_background,T1190,1.0,1.0,1.0,1.0,0.9959684701310109,82.99999999999999
lr_env_sensitive,high_background,T1595,0.75,1.0,0.75,0.8571428571428571,0.7564312657291832,1050.0
lr_env_sensitive,high_background,benign,0.7083333333333331,0.0,,0.0,0.2954625701927189,1225.0
lr_env_sensitive,low_sampling,Duplicate,0.2083333333333333,1.0,0.20833333333333334,0.3448275862068966,0.4628261710673908,340.00000000000006
lr_env_sensitive,low_sampling,T1048,1.0,1.0,1.0,1.0,0.9999999999936915,2.0
lr_env_sensitive,low_sampling,T1078,0.20833333333333334,1.0,0.20833333333333334,0.3448275862068966,0.42981618906957514,123.0
lr_env_sensitive,low_sampling,T1110,1.0,1.0,1.0,1.0,0.9999604985590281,1192.0
lr_env_sensitive,low_sampling,T1190,1.0,1.0,1.0,1.0,0.9310685825920748,82.99999999999999
lr_env_sensitive,low_sampling,T1595,0.125,1.0,0.125,0.2222222222222222,0.35227579546219245,1050.0
lr_env_sensitive,low_sampling,benign,1.0,,,,0.14152431537976054,1225.0
lr_env_sensitive,observed,Duplicate,1.0,1.0,1.0,1.0,0.9730486894555263,340.00000000000006
lr_env_sensitive,observed,T1048,1.0,1.0,1.0,1.0,1.0,2.0
lr_env_sensitive,observed,T1078,1.0,1.0,1.0,1.0,0.9716925446446961,123.0
lr_env_sensitive,observed,T1110,1.0,1.0,1.0,1.0,0.9999050125271013,1192.0
lr_env_sensitive,observed,T1190,1.0,1.0,1.0,1.0,0.9999623367639243,82.99999999999999
lr_env_sensitive,observed,T1595,1.0,1.0,1.0,1.0,0.8803459604473658,1050.0
lr_env_sensitive,observed,benign,0.9166666666666665,0.0,,0.0,0.09590932340549373,1225.0
lr_full,congested_link,Duplicate,0.6666666666666664,1.0,0.6666666666666665,0.7999999999999999,0.6535795347825893,340.00000000000006
lr_full,congested_link,T1048,0.0,,0.0,0.0,2.820834654226118e-62,2.0
lr_full,congested_link,T1078,0.4583333333333333,1.0,0.4583333333333333,0.6285714285714286,0.492661749623716,123.0
