rows,mean_ms,min_ms,max_ms,table,query
35,17.267801999999964,14.726500000000087,26.776400000000145,full,environment_metrics
245,14.40415,12.545999999999502,21.151999999999838,full,semantic_cube
35,4.056052000000108,3.6421000000004256,5.991400000000091,witness,environment_metrics
245,5.457993999999946,4.560900000000423,10.425399999999918,witness,semantic_cube


