detector,environment_id,semantic_label,accuracy,precision,recall,f1,avg_score,n
iforest_env_sensitive,high_background,T1595,0.3295238095238095,1.0,0.3295238095238095,0.49570200573065903,0.42000362747739617,1050.0
iforest_env_sensitive,high_background,benign,0.7085714285714285,0.0,,0.0,0.3912561092434814,1225.0
iforest_env_sensitive,low_sampling,Duplicate,0.12352941176470589,1.0,0.12352941176470589,0.2198952879581152,0.278443133027327,340.0
iforest_env_sensitive,low_sampling,T1048,1.0,1.0,1.0,1.0,0.9807525483979634,2.0
iforest_env_sensitive,low_sampling,T1078,0.12195121951219512,1.0,0.12195121951219512,0.21739130434782608,0.2777587637876963,123.0
iforest_env_sensitive,low_sampling,T1110,1.0,1.0,1.0,1.0,0.7856797381255712,1192.0
iforest_env_sensitive,low_sampling,T1190,0.9518072289156626,1.0,0.9518072289156626,0.9753086419753086,0.5551124243308213,83.0
iforest_env_sensitive,low_sampling,T1595,0.0,,0.0,0.0,0.1741857047063152,1050.0
iforest_env_sensitive,low_sampling,benign,1.0,,,,0.13687081034576162,1225.0
iforest_env_sensitive,observed,Duplicate,0.37058823529411766,1.0,0.37058823529411766,0.5407725321888412,0.543031241062984,340.0
iforest_env_sensitive,observed,T1048,1.0,1.0,1.0,1.0,0.9364762822898994,2.0
iforest_env_sensitive,observed,T1078,0.36585365853658536,1.0,0.36585365853658536,0.5357142857142857,0.5426416931326769,123.0
iforest_env_sensitive,observed,T1110,1.0,1.0,1.0,1.0,0.88153775330513,1192.0
iforest_env_sensitive,observed,T1190,1.0,1.0,1.0,1.0,0.8439906165655858,83.0
iforest_env_sensitive,observed,T1595,0.24571428571428572,1.0,0.24571428571428572,0.3944954128440367,0.45210200792906474,1050.0
iforest_env_sensitive,observed,benign,0.916734693877551,0.0,,0.0,0.23217139661817485,1225.0
lr_env_sensitive,congested_link,Duplicate,0.7411764705882353,1.0,0.7411764705882353,0.8513513513513513,0.7345156222572548,340.0
lr_env_sensitive,congested_link,T1048,0.0,,0.0,0.0,9.64265467511998e-47,2.0
lr_env_sensitive,congested_link,T1078,0.7317073170731707,1.0,0.7317073170731707,0.8450704225352113,0.7443580966512773,123.0
lr_env_sensitive,congested_link,T1110,0.7483221476510067,1.0,0.7483221476510067,0.8560460652591171,0.7482151408040668,1192.0
lr_env_sensitive,congested_link,T1190,1.0,1.0,1.0,1.0,0.9992157804667752,83.0
lr_env_sensitive,congested_link,T1595,0.7066666666666667,1.0,0.7066666666666667,0.828125,0.7007770740009369,1050.0
lr_env_sensitive,congested_link,benign,0.6253061224489795,0.0,,0.0,0.4434832465450169,1225.0
lr_env_sensitive,delayed_collector,Duplicate,1.0,1.0,1.0,1.0,0.9657422421175208,340.0
lr_env_sensitive,delayed_collector,T1048,1.0,1.0,1.0,1.0,1.0,2.0
lr_env_sensitive,delayed_collector,T1078,1.0,1.0,1.0,1.0,0.9662672826571229,123.0
lr_env_sensitive,delayed_collector,T1110,1.0,1.0,1.0,1.0,0.9998342890506234,1192.0
lr_env_sensitive,delayed_collector,T1190,1.0,1.0,1.0,1.0,0.999958977556744,83.0
lr_env_sensitive,delayed_collector,T1595,0.9161904761904762,1.0,0.9161904761904762,0.9562624254473161,0.7793726749430022,1050.0
lr_env_sensitive,delayed_collector,benign,0.916734693877551,0.0,,0.0,0.08528678134941332,1225.0
lr_env_sensitive,high_background,Duplicate,0.7,1.0,0.7,0.8235294117647058,0.7617469128503594,340.0
lr_env_sensitive,high_background,T1048,1.0,1.0,1.0,1.0,1.0,2.0
lr_env_sensitive,high_background,T1078,0.6910569105691057,1.0,0.6910569105691057,0.8173076923076923,0.756293620117788,123.0
lr_env_sensitive,high_background,T1110,1.0,1.0,1.0,1.0,0.9999999999999747,1192.0
lr_env_sensitive,high_background,T1190,1.0,1.0,1.0,1.0,0.9994399132974526,83.0
lr_env_sensitive,high_background,T1595,0.6228571428571429,1.0,0.6228571428571429,0.7676056338028169,0.6941288762222221,1050.0
lr_env_sensitive,high_background,benign,0.7918367346938775,0.0,,0.0,0.2395189224290788,1225.0
lr_env_sensitive,low_sampling,Duplicate,0.16470588235294117,1.0,0.16470588235294117,0.2828282828282828,0.4290162414336202,340.0
lr_env_sensitive,low_sampling,T1048,1.0,1.0,1.0,1.0,0.9999999999936915,2.0
lr_env_sensitive,low_sampling,T1078,0.16260162601626016,1.0,0.16260162601626016,0.27972027972027974,0.4267101215311105,123.0
lr_env_sensitive,low_sampling,T1110,0.9580536912751678,1.0,0.9580536912751678,0.9785775492716366,0.9591248766981818,1192.0
lr_env_sensitive,low_sampling,T1190,1.0,1.0,1.0,1.0,0.933982716522667,83.0
lr_env_sensitive,low_sampling,T1595,0.08190476190476191,1.0,0.08190476190476191,0.15140845070422534,0.33742094974737996,1050.0
lr_env_sensitive,low_sampling,benign,1.0,,,,0.1520155462540941,1225.0
lr_env_sensitive,observed,Duplicate,1.0,1.0,1.0,1.0,0.970159308476095,340.0
lr_env_sensitive,observed,T1048,1.0,1.0,1.0,1.0,1.0,2.0
lr_env_sensitive,observed,T1078,1.0,1.0,1.0,1.0,0.9709479499291311,123.0
