detector,environment_id,accuracy,precision,recall,f1,avg_score,n
gb_full,congested_link,0.9280199252801993,1.0,0.896415770609319,0.9453789453789454,0.7733357604577437,4015.0
gb_full,delayed_collector,1.0,1.0,1.0,1.0,0.8353520691393775,4015.0
gb_full,high_background,0.910585305105853,0.9798657718120806,0.8896057347670251,0.9325568288559083,0.7580989163675989,4015.0
gb_full,low_sampling,0.7083437110834371,1.0,0.5802867383512544,0.7344068949875255,0.5571814482578011,4015.0
gb_full,observed,1.0,1.0,1.0,1.0,0.8353616278918552,4015.0
iforest_env_sensitive,congested_link,0.663760896637609,0.8896103896103896,0.589247311827957,0.7089262613195343,0.5694028469263802,4015.0
iforest_env_sensitive,delayed_collector,0.6642590286425902,0.9380315917375456,0.5534050179211469,0.6961226330027052,0.5718068425285933,4015.0
iforest_env_sensitive,high_background,0.6806973848069738,0.8393339333933393,0.6684587813620072,0.7442138866719872,0.5938218956645361,4015.0
iforest_env_sensitive,low_sampling,0.6363636363636364,1.0,0.4767025089605735,0.6456310679611651,0.37640218411342313,4015.0
iforest_env_sensitive,observed,0.7046077210460772,0.9435840707964602,0.6114695340501792,0.742061765985211,0.5874270244610041,4015.0
lr_env_sensitive,congested_link,0.7036114570361146,0.8177124702144559,0.7379928315412186,0.7758100979653353,0.7184490346397797,4015.0
lr_env_sensitive,delayed_collector,0.9526774595267746,0.963623395149786,0.9684587813620071,0.9660350375402217,0.8021581776999058,4015.0
lr_env_sensitive,high_background,0.8029887920298879,0.8983658828218414,0.8078853046594983,0.8507265521796565,0.7453909443698973,4015.0
lr_env_sensitive,low_sampling,0.6510585305105853,1.0,0.4978494623655914,0.6647523330940417,0.5460170606334018,4015.0
lr_env_sensitive,observed,0.9636363636363636,0.964185393258427,0.9842293906810036,0.9741042923022348,0.8056168485486102,4015.0
lr_full,congested_link,0.7788293897882939,0.9745508982035929,0.7,0.8147684605757196,0.5832082585115266,4015.0
lr_full,delayed_collector,1.0,1.0,1.0,1.0,0.8227602188737754,4015.0
lr_full,high_background,0.8313823163138232,0.9367507234394378,0.8121863799283154,0.8700326358226147,0.6604685137011544,4015.0
lr_full,low_sampling,0.772104607721046,1.0,0.6720430107526881,0.8038585209003215,0.5055075642382854,4015.0
lr_full,observed,1.0,1.0,1.0,1.0,0.8227905283829975,4015.0
protocol_core_rf,congested_link,1.0,1.0,1.0,1.0,0.8337358874334306,4015.0
protocol_core_rf,delayed_collector,1.0,1.0,1.0,1.0,0.8337358874334306,4015.0
protocol_core_rf,high_background,1.0,1.0,1.0,1.0,0.8337358874334306,4015.0
protocol_core_rf,low_sampling,1.0,1.0,1.0,1.0,0.8337358874334306,4015.0
protocol_core_rf,observed,1.0,1.0,1.0,1.0,0.8337358874334306,4015.0
rf_env_sensitive,congested_link,0.9006226650062267,0.9606936416184971,0.8935483870967742,0.9259052924791087,0.6890963044410232,4015.0
rf_env_sensitive,delayed_collector,1.0,1.0,1.0,1.0,0.8346894215641849,4015.0
rf_env_sensitive,high_background,0.8296388542963885,0.9025229357798165,0.8462365591397849,0.8734739178690344,0.7177773438198073,4015.0
rf_env_sensitive,low_sampling,0.7222914072229141,0.7888927216281476,0.8197132616487455,0.8040077342239409,0.6074074356412951,4015.0
rf_env_sensitive,observed,1.0,1.0,1.0,1.0,0.8346427841978961,4015.0
rf_full,congested_link,1.0,1.0,1.0,1.0,0.7607018504295344,4015.0
rf_full,delayed_collector,1.0,1.0,1.0,1.0,0.8341026175744115,4015.0
rf_full,high_background,0.9763387297633873,0.9817661780479084,0.9842293906810036,0.982996241274387,0.7591271270437888,4015.0
rf_full,low_sampling,0.9780821917808219,1.0,0.9684587813620071,0.9839766933721777,0.6384706464634521,4015.0
rf_full,observed,1.0,1.0,1.0,1.0,0.8342341152044856,4015.0


