detector,environment_id,accuracy_full,precision_full,recall_full,f1_full,avg_score_full,n_full,accuracy_witness,precision_witness,recall_witness,f1_witness,avg_score_witness,n_witness,abs_f1_error,abs_accuracy_error
gb_full,congested_link,0.9215442092154421,0.9944067119456652,0.8921146953405018,0.9404874362365389,0.6328943334739677,4015.0,0.9280199252801993,1.0,0.896415770609319,0.9453789453789454,0.7733357604577437,4015.0,0.004891509142406547,0.006475716064757164
gb_full,delayed_collector,0.997758405977584,0.9978517722878625,0.9989247311827957,0.9983879634605051,0.6952119244246938,4015.0,1.0,1.0,1.0,1.0,0.8353520691393775,4015.0,0.001612036539494932,0.0022415940224159714
gb_full,high_background,0.9148194271481943,0.9818897637795275,0.8939068100358423,0.9358348968105066,0.6406925260305728,4015.0,0.910585305105853,0.9798657718120806,0.8896057347670251,0.9325568288559083,0.7580989163675989,4015.0,0.003278067954598285,0.004234122042341304
gb_full,low_sampling,0.7041095890410959,0.9993765586034913,0.5745519713261649,0.729631315430132,0.46330705700973834,4015.0,0.7083437110834371,1.0,0.5802867383512544,0.7344068949875255,0.5571814482578011,4015.0,0.0047755795573934945,0.004234122042341193
gb_full,observed,0.9980074719800747,0.9982091690544412,0.9989247311827957,0.9985668219276245,0.6949825536648062,4015.0,1.0,1.0,1.0,1.0,0.8353616278918552,4015.0,0.0014331780723755294,0.0019925280199253326
iforest_env_sensitive,congested_link,0.6560398505603985,0.881429344883595,0.5835125448028674,0.7021781324131982,0.5309935341782738,4015.0,0.663760896637609,0.8896103896103896,0.589247311827957,0.7089262613195343,0.5694028469263802,4015.0,0.006748128906336137,0.007721046077210469
iforest_env_sensitive,delayed_collector,0.663760896637609,0.9422604422604423,0.5498207885304659,0.6944318696242644,0.5179779907139557,4015.0,0.6642590286425902,0.9380315917375456,0.5534050179211469,0.6961226330027052,0.5718068425285933,4015.0,0.0016907633784407627,0.0004981320049812776
iforest_env_sensitive,high_background,0.6869240348692404,0.844494382022472,0.6734767025089605,0.7493519441674975,0.5592342816347619,4015.0,0.6806973848069738,0.8393339333933393,0.6684587813620072,0.7442138866719872,0.5938218956645361,4015.0,0.005138057495510329,0.0062266500622665255
iforest_env_sensitive,low_sampling,0.6356164383561644,1.0,0.47562724014336916,0.6446441583677435,0.3640389248786097,4015.0,0.6363636363636364,1.0,0.4767025089605735,0.6456310679611651,0.37640218411342313,4015.0,0.0009869095934216254,0.0007471980074719164
iforest_env_sensitive,observed,0.7043586550435865,0.9391780821917808,0.614336917562724,0.742795232936078,0.5320313185076735,4015.0,0.7046077210460772,0.9435840707964602,0.6114695340501792,0.742061765985211,0.5874270244610041,4015.0,0.0007334669508669567,0.0002490660024906388
lr_env_sensitive,congested_link,0.6931506849315069,0.8096184419713831,0.7301075268817204,0.7678100263852242,0.6434883990615116,4015.0,0.7036114570361146,0.8177124702144559,0.7379928315412186,0.7758100979653353,0.7184490346397797,4015.0,0.008000071580111068,0.010460772104607718
lr_env_sensitive,delayed_collector,0.9504358655043587,0.9641705481906127,0.964516129032258,0.9643433076509587,0.6587727548058897,4015.0,0.9526774595267746,0.963623395149786,0.9684587813620071,0.9660350375402217,0.8021581776999058,4015.0,0.0016917298892630273,0.0022415940224159714
lr_env_sensitive,high_background,0.8057285180572852,0.8962933753943217,0.8146953405017922,0.8535486293653773,0.6583243822590552,4015.0,0.8029887920298879,0.8983658828218414,0.8078853046594983,0.8507265521796565,0.7453909443698973,4015.0,0.002822077185720806,0.002739726027397249
lr_env_sensitive,low_sampling,0.6555417185554172,0.9992902767920511,0.5046594982078854,0.6706358656823053,0.4914209797470525,4015.0,0.6510585305105853,1.0,0.4978494623655914,0.6647523330940417,0.5460170606334018,4015.0,0.005883532588263574,0.004483188044831943
lr_env_sensitive,observed,0.9673723536737235,0.966327604349351,0.9874551971326165,0.9767771671689417,0.6619430216523684,4015.0,0.9636363636363636,0.964185393258427,0.9842293906810036,0.9741042923022348,0.8056168485486102,4015.0,0.0026728748667068647,0.0037359900373599153
lr_full,congested_link,0.7845579078455791,0.9734382685686178,0.7093189964157706,0.8206510470661414,0.5042426899954987,4015.0,0.7788293897882939,0.9745508982035929,0.7,0.8147684605757196,0.5832082585115266,4015.0,0.005882586490421837,0.005728518057285248
lr_full,delayed_collector,0.9980074719800747,0.9974964234620887,0.9996415770609319,0.9985678481919084,0.6865446742175535,4015.0,1.0,1.0,1.0,1.0,0.8227602188737754,4015.0,0.0014321518080916418,0.0019925280199253326
lr_full,high_background,0.838107098381071,0.9436152570480929,0.8157706093189964,0.8750480584390619,0.6031926434531465,4015.0,0.8313823163138232,0.9367507234394378,0.8121863799283154,0.8700326358226147,0.6604685137011544,4015.0,0.005015422616447163,0.006724782067247803
lr_full,low_sampling,0.7785803237858032,0.9989501312335958,0.682078853046595,0.8106496272630458,0.4916447132355153,4015.0,0.772104607721046,1.0,0.6720430107526881,0.8038585209003215,0.5055075642382854,4015.0,0.006791106362724286,0.006475716064757164
lr_full,observed,0.9980074719800747,0.9974964234620887,0.9996415770609319,0.9985678481919084,0.6864023092251141,4015.0,1.0,1.0,1.0,1.0,0.8227905283829975,4015.0,0.0014321518080916418,0.0019925280199253326
protocol_core_rf,congested_link,0.9950186799501868,0.9967718794835008,0.9960573476702509,0.9964144854786662,0.6932968451974774,4015.0,1.0,1.0,1.0,1.0,0.8337358874334306,4015.0,0.0035855145213338213,0.00498132004981322
protocol_core_rf,delayed_collector,0.9950186799501868,0.9967718794835008,0.9960573476702509,0.9964144854786662,0.6932968451974774,4015.0,1.0,1.0,1.0,1.0,0.8337358874334306,4015.0,0.0035855145213338213,0.00498132004981322
