dataset,split,fold,detector,base_detector,detector_family,feature_profile,calibration_policy,environment_id,train_rows,test_rows,train_positive_rate,test_positive_rate,fit_seconds,eval_seconds,semantic_preservation_score,accuracy,precision,recall,f1,auc,alert_budget_inflation,causal_fragility_score,environment_leakage_score,score_environment_leakage_score
uwf,random,all,lr_full,lr_full,sklearn_linear,full,native_default,observed,62316,33555,0.5003048976185891,0.5003129190880644,95.26341742277145,0.0003577284514904022,1.0,0.9981522872895247,0.9971465937462847,0.9991660710030974,0.9981553109193693,0.9999140165481856,1.0020252561353347,0.662005497838848,0.14454990156566244,0.34279749175914587
uwf,random,all,lr_full,lr_full,sklearn_linear,full,native_default,low_sampling,62316,33555,0.5003048976185891,0.5003129190880644,95.26341742277145,0.00026727095246315,1.0,0.6503650722694084,0.991064491064491,0.30390755301405764,0.4651714077315828,0.9582259117482307,0.30664760543245173,0.662005497838848,0.14454990156566244,0.34279749175914587
uwf,random,all,lr_full,lr_full,sklearn_linear,full,native_default,congested_link,62316,33555,0.5003048976185891,0.5003129190880644,95.26341742277145,0.0005145519971847534,1.0,0.997496647295485,0.996315664368909,0.9986895401477246,0.9975011899095668,0.9998496612934807,1.0023826542768643,0.662005497838848,0.14454990156566244,0.34279749175914587
uwf,random,all,lr_full,lr_full,sklearn_linear,full,native_default,high_background,62316,33555,0.5003048976185891,0.5003129190880644,95.26341742277145,0.0003408268094062805,1.0,0.9903442109968708,0.9816288322021999,0.9994043364307839,0.9904368358913813,0.9996608124593876,1.0181081725041696,0.662005497838848,0.14454990156566244,0.34279749175914587
uwf,random,all,lr_full,lr_full,sklearn_linear,full,native_default,delayed_collector,62316,33555,0.5003048976185891,0.5003129190880644,95.26341742277145,0.000256858766078949,1.0,0.9981522872895247,0.9971465937462847,0.9991660710030974,0.9981553109193693,0.9998880861587794,1.0020252561353347,0.662005497838848,0.14454990156566244,0.34279749175914587
uwf,random,all,lr_full__val_observed_f1,lr_full,sklearn_linear,full,val_observed_f1,observed,62316,33555,0.5003048976185891,0.5003129190880644,95.26341742277145,0.00030145421624183655,1.0,0.9974668454775741,0.9949623659100337,1.0,0.9974748224948754,0.9999140165481856,1.005063140338337,0.662005497838848,0.08650361575424043,0.34279749175914587
uwf,random,all,lr_full__val_observed_f1,lr_full,sklearn_linear,full,val_observed_f1,low_sampling,62316,33555,0.5003048976185891,0.5003129190880644,95.26341742277145,0.0002497844398021698,1.0,0.7718372820742065,0.9934082558893451,0.5475935191803669,0.7060133630289532,0.9582259117482307,0.5512270669525852,0.662005497838848,0.08650361575424043,0.34279749175914587
uwf,random,all,lr_full__val_observed_f1,lr_full,sklearn_linear,full,val_observed_f1,congested_link,62316,33555,0.5003048976185891,0.5003129190880644,95.26341742277145,0.00020925328135490417,1.0,0.991417076441663,0.9839277334584702,0.9991660710030974,0.9914883555975884,0.9998496612934807,1.0154872527996188,0.662005497838848,0.08650361575424043,0.34279749175914587
uwf,random,all,lr_full__val_observed_f1,lr_full,sklearn_linear,full,val_observed_f1,high_background,62316,33555,0.5003048976185891,0.5003129190880644,95.26341742277145,0.00021023675799369812,1.0,0.9791685292802861,0.9601853440878668,0.9998213009292352,0.97960255624617,0.9996608124593876,1.0412794853466762,0.662005497838848,0.08650361575424043,0.34279749175914587
uwf,random,all,lr_full__val_observed_f1,lr_full,sklearn_linear,full,val_observed_f1,delayed_collector,62316,33555,0.5003048976185891,0.5003129190880644,95.26341742277145,0.0001905187964439392,1.0,0.9943972582327522,0.9890407730379448,0.9998808672861568,0.9944312796208531,0.9998880861587794,1.0109602096735764,0.662005497838848,0.08650361575424043,0.34279749175914587
