dataset,split,fold,detector,detector_family,feature_profile,observed_f1,worst_intervention_f1,worst_hidden_drop
uwf,heldout_family,persistence,xgb_full__val_robust_minimax,xgboost,full,1.0,0.9834087481146304,0.016591251885369585
uwf,heldout_family,persistence,lgbm_full__val_observed_f1,lightgbm,full,1.0,0.9834087481146304,0.016591251885369585
uwf,heldout_family,persistence,lgbm_full__val_robust_minimax,lightgbm,full,1.0,0.9834087481146304,0.016591251885369585
uwf,heldout_family,privilege_escalation,rf_full__oracle_env_upper_bound,sklearn_tree,full,1.0,0.9834087481146304,0.016591251885369585
uwf,heldout_family,credential_access,lgbm_full__val_observed_f1,lightgbm,full,0.9992648072416487,0.9831707675441075,0.016094039697541196
uwf,heldout_family,persistence,pyod_copod_env_sensitive__val_robust_minimax,pyod_copod,env_sensitive,0.6805845511482255,0.6646153846153846,0.01596916653284086
uwf,heldout_family,credential_access,cat_full__val_observed_f1,catboost,full,0.9991729841488629,0.9834820065800631,0.01569097756879978
uwf,random,all,rf_full,sklearn_tree,full,0.9988695186529423,0.9832718690072282,0.015597649645714085
uwf,heldout_family,credential_access,xgb_full__val_observed_f1,xgboost,full,0.9991041279029702,0.9836043329790362,0.015499794923934052
uwf,random,all,pyod_copod_env_sensitive__oracle_env_upper_bound,pyod_copod,env_sensitive,0.9184554432026492,0.9032409858243633,0.015214457378285862
uwf,heldout_family,persistence,pyod_ecod_env_sensitive__val_robust_minimax,pyod_ecod,env_sensitive,0.6784599375650364,0.6639344262295082,0.014525511335528263
uwf,heldout_family,privilege_escalation,pyod_copod_env_sensitive__val_robust_minimax,pyod_copod,env_sensitive,0.6777546777546778,0.6632337796086509,0.014520898146026862
uwf,time,within_family_chronological,gb_full__val_observed_f1,sklearn_boosting,full,0.9988694513864096,0.9844881699661999,0.014381281420209668
uwf,heldout_family,initial_access,rf_full__val_robust_minimax,sklearn_tree,full,1.0,0.9859402460456942,0.01405975395430581
uwf,heldout_family,persistence,iforest_env_sensitive__val_robust_minimax,sklearn_anomaly,env_sensitive,0.6812957157784744,0.6673490276356192,0.013946688142855157
uwf,heldout_family,persistence,rf_full__oracle_env_upper_bound,sklearn_tree,full,1.0,0.9863842662632375,0.013615733736762503
uwf,heldout_family,initial_access,rf_full__val_observed_f1,sklearn_tree,full,1.0,0.9868073878627969,0.01319261213720313
uwf,time,within_family_chronological,xgb_full__val_observed_f1,xgboost,full,0.9980041109356848,0.9848864219131799,0.013117689022504875
uwf,heldout_family,reconnaissance,cat_full__val_robust_minimax,catboost,full,0.14772365488697867,0.1346585444052581,0.013065110481720571
uwf,heldout_family,initial_access,pyod_copod_env_sensitive__val_robust_minimax,pyod_copod,env_sensitive,0.6771273385636692,0.6642771804062126,0.012850158157456604
uwf,heldout_family,credential_access,xgb_full__val_robust_minimax,xgboost,full,0.9992762863149188,0.9864821955091858,0.012794090805733016
uwf,time,within_family_chronological,rf_full__oracle_env_upper_bound,sklearn_tree,full,0.9989288902112466,0.9868614012510101,0.012067488960236572
uwf,heldout_family,credential_access,lgbm_full__val_robust_minimax,lightgbm,full,0.9993681283963098,0.9873331517297739,0.012034976666535968
uwf,random,all,rf_full__oracle_env_upper_bound,sklearn_tree,full,0.9990181201463894,0.9869997908012312,0.012018329345158119
uwf,heldout_family,initial_access,lgbm_full__val_robust_minimax,lightgbm,full,1.0,0.9882777276825969,0.011722272317403082
uwf,heldout_family,reconnaissance,lr_full__val_robust_minimax,sklearn_linear,full,0.01161995898838004,0.0,0.01161995898838004
uwf,heldout_family,initial_access,rf_full__oracle_env_upper_bound,sklearn_tree,full,1.0,0.9894179894179894,0.010582010582010581
uwf,source_ip,within_family_source_ip,rf_full,sklearn_tree,full,0.9905410703783571,0.9799648332053791,0.010576237172978065
uwf,source_ip,within_family_source_ip,rf_full__oracle_env_upper_bound,sklearn_tree,full,0.9992474814904722,0.989333722969024,0.009913758521448157
uwf,heldout_family,persistence,lgbm_full__oracle_env_upper_bound,lightgbm,full,1.0,0.9908814589665653,0.00911854103343468
uwf,time,within_family_chronological,cat_full,catboost,full,0.9988694513864096,0.9897959183673469,0.009073533019062663
uwf,random,all,pyod_copod_env_sensitive__val_robust_minimax,pyod_copod,env_sensitive,0.6760086977530805,0.666984505363528,0.009024192389552432
uwf,heldout_family,credential_access,rf_full__val_robust_minimax,sklearn_tree,full,0.999333685637479,0.9904584063944618,0.008875279243017231
uwf,heldout_family,credential_access,rf_full,sklearn_tree,full,0.9993451662932966,0.9905373552420319,0.008807811051264713
uwf,heldout_family,credential_access,lgbm_full,lightgbm,full,0.9994255382706404,0.990819418183475,0.008606120087165436
uwf,heldout_family,credential_access,xgb_full,xgboost,full,0.999482954741305,0.9909661544069901,0.0085168003343149
uwf,heldout_family,credential_access,pyod_copod_env_sensitive__val_robust_minimax,pyod_copod,env_sensitive,0.7928614397433327,0.7844176924117409,0.008443747331591811
uwf,source_ip,within_family_source_ip,iforest_env_sensitive__oracle_env_upper_bound,sklearn_anomaly,env_sensitive,0.9498221448573375,0.9414587332053743,0.008363411651963193
uwf,heldout_family,privilege_escalation,pyod_ecod_env_sensitive__val_robust_minimax,pyod_ecod,env_sensitive,0.6735537190082644,0.6653019447287615,0.008251774279502966
uwf,source_ip,within_family_source_ip,pyod_ecod_env_sensitive__val_robust_minimax,pyod_ecod,env_sensitive,0.7067387758605889,0.6985236721534024,0.008215103707186477
uwf,random,all,iforest_env_sensitive__oracle_env_upper_bound,sklearn_anomaly,env_sensitive,0.9528095428906082,0.9448335709415484,0.007975971949059746
uwf,heldout_family,initial_access,cat_full__val_observed_f1,catboost,full,1.0,0.9920424403183024,0.007957559681697646
uwf,heldout_family,persistence,xgb_full,xgboost,full,1.0,0.9923896499238964,0.007610350076103556
uwf,heldout_family,privilege_escalation,lgbm_full__oracle_env_upper_bound,lightgbm,full,1.0,0.9923896499238964,0.007610350076103556
uwf,random,all,lgbm_full__oracle_env_upper_bound,lightgbm,full,0.9992856717661766,0.9918146626872728,0.007471009078903745
uwf,random,all,lgbm_full,lightgbm,full,0.9991965003124721,0.9917277239423304,0.00746877637014165
uwf,random,all,lgbm_full__val_robust_minimax,lightgbm,full,0.9990478457510117,0.9917277239423304,0.007320121808681246
uwf,time,within_family_chronological,iforest_env_sensitive__oracle_env_upper_bound,sklearn_anomaly,env_sensitive,0.9506169040952586,0.9437000652842976,0.006916838810960946
uwf,heldout_family,credential_access,iforest_env_sensitive__oracle_env_upper_bound,sklearn_anomaly,env_sensitive,0.9960496032427605,0.9892450855216997,0.006804517721060832
uwf,source_ip,within_family_source_ip,cat_full__val_observed_f1,catboost,full,0.9985429820301117,0.9917758001109422,0.006767181919169474
uwf,source_ip,within_family_source_ip,rf_full__val_robust_minimax,sklearn_tree,full,0.9949506037321625,0.9882875703349513,0.006663033397211193
