dataset,split,fold,method,environment_id,fit_seconds,selected_candidate,common_threshold,anomaly_threshold,primary_gate,coverage_rate,coverage_floor,coverage_gap,gated_coverage_rate,coverage_lift,coverage_lift_floor,coverage_recovery_floor,causal_fragility_score,environment_leakage_score,score_environment_leakage_score,accuracy,precision,recall,f1,auc,alert_budget_inflation
gotham,random,all,intervendb_observed_selector,observed,2549.2193158119917,protocol_core_rf,0.2942,,,,,,,,,,0.0,0.0,0.14782818215982824,0.9999777120195968,0.9999746727722171,0.9999981004134134,0.9999863864555998,0.9999999764360807,1.0000234282345686
gotham,random,all,intervendb_observed_selector,low_sampling,2549.2193158119917,protocol_core_rf,0.2942,,,,,,,,,,0.0,0.0,0.14782818215982824,0.9999777120195968,0.9999746727722171,0.9999981004134134,0.9999863864555998,0.9999999764369852,1.0000234282345686
gotham,random,all,intervendb_observed_selector,congested_link,2549.2193158119917,protocol_core_rf,0.2942,,,,,,,,,,0.0,0.0,0.14782818215982824,0.9999777120195968,0.9999746727722171,0.9999981004134134,0.9999863864555998,0.9999999764360807,1.0000234282345686
gotham,random,all,intervendb_observed_selector,high_background,2549.2193158119917,protocol_core_rf,0.2942,,,,,,,,,,0.0,0.0,0.14782818215982824,0.9999777120195968,0.9999746727722171,0.9999981004134134,0.9999863864555998,0.9999999764360809,1.0000234282345686
gotham,random,all,intervendb_observed_selector,delayed_collector,2549.2193158119917,protocol_core_rf,0.2942,,,,,,,,,,0.0,0.0,0.14782818215982824,0.9999777120195968,0.9999746727722171,0.9999981004134134,0.9999863864555998,0.9999999764369852,1.0000234282345686
gotham,random,all,intervendb_minimax_selector,observed,2549.2193158119917,protocol_core_rf,0.2942,,,,,,,,,,0.0,0.0,0.14782818215982824,0.9999777120195968,0.9999746727722171,0.9999981004134134,0.9999863864555998,0.9999999764360807,1.0000234282345686
gotham,random,all,intervendb_minimax_selector,low_sampling,2549.2193158119917,protocol_core_rf,0.2942,,,,,,,,,,0.0,0.0,0.14782818215982824,0.9999777120195968,0.9999746727722171,0.9999981004134134,0.9999863864555998,0.9999999764369852,1.0000234282345686
gotham,random,all,intervendb_minimax_selector,congested_link,2549.2193158119917,protocol_core_rf,0.2942,,,,,,,,,,0.0,0.0,0.14782818215982824,0.9999777120195968,0.9999746727722171,0.9999981004134134,0.9999863864555998,0.9999999764360807,1.0000234282345686
gotham,random,all,intervendb_minimax_selector,high_background,2549.2193158119917,protocol_core_rf,0.2942,,,,,,,,,,0.0,0.0,0.14782818215982824,0.9999777120195968,0.9999746727722171,0.9999981004134134,0.9999863864555998,0.9999999764360809,1.0000234282345686
gotham,random,all,intervendb_minimax_selector,delayed_collector,2549.2193158119917,protocol_core_rf,0.2942,,,,,,,,,,0.0,0.0,0.14782818215982824,0.9999777120195968,0.9999746727722171,0.9999981004134134,0.9999863864555998,0.9999999764369852,1.0000234282345686
gotham,random,all,intervendb_stability_selector,observed,2549.2193158119917,protocol_core_rf,0.2942,,,,,,,,,,0.0,0.0,0.14782818215982824,0.9999777120195968,0.9999746727722171,0.9999981004134134,0.9999863864555998,0.9999999764360807,1.0000234282345686
gotham,random,all,intervendb_stability_selector,low_sampling,2549.2193158119917,protocol_core_rf,0.2942,,,,,,,,,,0.0,0.0,0.14782818215982824,0.9999777120195968,0.9999746727722171,0.9999981004134134,0.9999863864555998,0.9999999764369852,1.0000234282345686
gotham,random,all,intervendb_stability_selector,congested_link,2549.2193158119917,protocol_core_rf,0.2942,,,,,,,,,,0.0,0.0,0.14782818215982824,0.9999777120195968,0.9999746727722171,0.9999981004134134,0.9999863864555998,0.9999999764360807,1.0000234282345686
gotham,random,all,intervendb_stability_selector,high_background,2549.2193158119917,protocol_core_rf,0.2942,,,,,,,,,,0.0,0.0,0.14782818215982824,0.9999777120195968,0.9999746727722171,0.9999981004134134,0.9999863864555998,0.9999999764360809,1.0000234282345686
gotham,random,all,intervendb_stability_selector,delayed_collector,2549.2193158119917,protocol_core_rf,0.2942,,,,,,,,,,0.0,0.0,0.14782818215982824,0.9999777120195968,0.9999746727722171,0.9999981004134134,0.9999863864555998,0.9999999764369852,1.0000234282345686
