split,observed_f1_mean,worst_intervention_f1_mean,hidden_drop_mean,hidden_drop_max,rrs_mean,rrs_max
device,0.9768904616853648,0.9354303207786118,0.04146014090675304,0.1504349179287532,0.11818606234903624,0.4285714285714286
random,0.9953118568729405,0.9917039656942422,0.0036078911786982686,0.047200484016771016,0.06910759000905567,0.32727272727272727
time,0.9582823263770452,0.9536229333111118,0.004659393065933469,0.01569847361255239,0.32104892964310267,1.1621621621621623


